,,,,,  
0.0000000000,0.2493200000,-0.3247829142,0.0747442407,0.0881004064,1.3811006760 
0.2493200000,0.4986300000,0.3610319700,-0.4382178601,0.2159921174,1.3704720222 
0.4986300000,1.0000000000,-0.3392163431,0.6092765891,-0.3063200398,1.4572855259 
1.0000000000,1.3342000000,1.4144029410,-4.6515812634,4.9545378127,-0.2963337583 
1.3342000000,1.6521000000,-1.7110415070,7.8583226844,-11.7361760345,7.1265830467 
1.6521000000,2.0740000000,0.5978972668,-3.5854705605,7.1701147855,-3.2851113079 
2.0740000000,2.9096000000,-0.0935766565,0.7168801903,-1.7529606717,2.8837081915 
2.9096000000,3.0603000000,0.5896720621,-5.2470612241,15.5997232676,-13.9460815384 
3.0603000000,3.3260000000,-0.2983442197,2.9057274575,-9.3502559346,11.5053922457 
3.3260000000,4.3644000000,0.0945855770,-1.0149260539,3.6898376441,-2.9517248352 
4.3644000000,5.1260000000,-0.2731482244,3.7998861544,-17.3239287577,27.6191025261 
5.1260000000,5.8411000000,0.2887193690,-4.8405136969,26.9667608803,-48.0589225020 
5.8411000000,7.3370000000,-0.0668944480,1.3910139027,-9.4322149822,22.8110968015 
7.3370000000,8.8521000000,0.0057778202,-0.2085753939,2.3039716870,-5.8917037291 
8.8521000000,9.8301000000,0.0631182505,-1.7313250615,15.7835040198,-45.6657597835 
9.8301000000,11.8438000000,-0.0373194449,1.2306127055,-13.3326404230,49.7391107123 
11.8438000000,13.3589000000,0.0323107277,-1.2434448067,15.9696019392,-65.9441886511 
13.3589000000,16.3699000000,-0.0071223694,0.3369035936,-5.1421143049,28.0655800603 
16.3699000000,25.3452000000,0.0004500005,-0.0349732204,0.9454719520,-5.1521460288 
25.3452000000,28.3890000000,0.0000721459,-0.0062428216,0.2172942473,0.9997904917 
28.3890000000,45.3671000000,-0.0000359457,0.0029630205,-0.0440504027,3.4728949148 
45.3671000000,100.0000000000,0.0001285439,-0.0194242263,0.9715940605,-11.8860530610 
